Source,Target,type
2eam0iDomRHGBypaDQLwWI,4iiQabGKtS2RtTKpVkrVTw,undirected
7wg1qvie3KqDNQbAkTdbX0,6wKxOKEA3K6R2UZ3COLXEY,undirected
7wg1qvie3KqDNQbAkTdbX0,0vqJkZ0RpLZixt3lTmD8vP,undirected
6P5NO5hzJbuOqSdyPB7SJM,4Uc8Dsxct0oMqx0P6i60ea,undirected
6P5NO5hzJbuOqSdyPB7SJM,6beUvFUlKliUYJdLOXNj9C,undirected
6P5NO5hzJbuOqSdyPB7SJM,5bmqhxWk9SEFDGIzWpSjVJ,undirected
3NPpFNZtSTHheNBaWC82rB,5DK8eK7fjvRsziXzyr3sFA,undirected
3NPpFNZtSTHheNBaWC82rB,4dwdTW1Lfiq0cM8nBAqIIz,undirected
3NPpFNZtSTHheNBaWC82rB,6AGUQK1EWK6nvN4pLIDQDQ,undirected
3NPpFNZtSTHheNBaWC82rB,3RbyaF3Pq6iDUKNp04AIcU,undirected
3NPpFNZtSTHheNBaWC82rB,6DIS6PRrLS3wbnZsf7vYic,undirected
3NPpFNZtSTHheNBaWC82rB,7EQ0qTo7fWT7DPxmxtSYEc,undirected
3NPpFNZtSTHheNBaWC82rB,5ApQnMT6oR8eLguf24xb9S,undirected
3NPpFNZtSTHheNBaWC82rB,0RpddSzUHfncUWNJXKOsjy,undirected
3NPpFNZtSTHheNBaWC82rB,4j56EQDQu5XnL7R3E9iFJT,undirected
3NPpFNZtSTHheNBaWC82rB,4AcHt3JxKy59IX7JNNlZn4,undirected
3NPpFNZtSTHheNBaWC82rB,5tFRohaO5yEsuJxmMnlCO9,undirected
3NPpFNZtSTHheNBaWC82rB,4njdEjTnLfcGImKZu1iSrz,undirected
3NPpFNZtSTHheNBaWC82rB,4qWnlmXWuGv2TtuxtIWlJX,undirected
3NPpFNZtSTHheNBaWC82rB,2HOMW1liAxI3URnEq95SMS,undirected
3NPpFNZtSTHheNBaWC82rB,0MlOPi3zIDMVrfA9R04Fe3,undirected
5Lhxlge1CR1DrgDAje8Qaw,3xbmS6qcRWTyILBoaqAPT4,undirected
5Lhxlge1CR1DrgDAje8Qaw,1ikg4sypcURm8Vy5GP68xb,undirected
5Lhxlge1CR1DrgDAje8Qaw,3S4d3YRNGg2OhnNm3QvfhA,undirected
5Lhxlge1CR1DrgDAje8Qaw,2oqwwcM17wrP9hBD25zKSR,undirected
5Lhxlge1CR1DrgDAje8Qaw,5ApQnMT6oR8eLguf24xb9S,undirected
